program,category,loc,modules,mode,accepted,exact,receiver_bounded,parameter_relative,unbounded,rejected,reader_keys,reader_edges,manual_adaptations,unsupported_constructs
alias-imports,cross-module aliasing,15,3,linked,true,4,0,0,0,0,3,6,,
alias-imports,cross-module aliasing,15,3,function-summaries-ablated,true,2,0,0,2,0,3,6,,
branch-reads,branch over-approximation,10,2,linked,true,6,0,0,0,0,3,6,,
branch-reads,branch over-approximation,10,2,function-summaries-ablated,true,3,0,0,3,0,3,6,,
dashboard-derived,derived chain,18,4,linked,true,4,0,0,0,0,5,10,,
dashboard-derived,derived chain,18,4,function-summaries-ablated,true,2,0,0,2,0,5,6,,
dynamic-key,dynamic store key,8,2,linked,true,0,2,0,0,0,3,6,,
dynamic-key,dynamic store key,8,2,function-summaries-ablated,true,0,1,0,1,0,3,6,,
finance-summary,application case study,25,5,linked,true,9,0,0,0,0,7,17,,
finance-summary,application case study,25,5,function-summaries-ablated,true,4,0,0,5,0,7,13,,
form-validation,parameter effects,19,3,linked,true,0,0,7,0,0,7,14,,
form-validation,parameter effects,19,3,function-summaries-ablated,true,0,0,5,2,0,7,14,,
helper-depth-1,helper depth 1,11,2,linked,true,0,1,2,0,0,2,4,,
helper-depth-1,helper depth 1,11,2,function-summaries-ablated,true,0,0,2,1,0,2,4,,
helper-depth-2,helper depth 2,14,2,linked,true,0,1,3,0,0,2,4,,
helper-depth-2,helper depth 2,14,2,function-summaries-ablated,true,0,0,3,1,0,2,4,,
helper-depth-4,helper depth 4,14,2,linked,true,0,1,5,0,0,2,4,,
helper-depth-4,helper depth 4,14,2,function-summaries-ablated,true,0,0,5,1,0,2,4,,
inventory-dashboard,application case study,26,5,linked,true,2,2,4,0,0,11,20,,
inventory-dashboard,application case study,26,5,function-summaries-ablated,true,1,0,2,5,0,11,16,,
notification-center,application case study,24,4,linked,true,1,6,0,0,0,7,16,,
notification-center,application case study,24,4,function-summaries-ablated,true,1,3,0,3,0,6,10,,
permissions-form,application case study,26,4,linked,true,2,2,4,0,0,6,12,,
permissions-form,application case study,26,4,function-summaries-ablated,true,2,0,2,4,0,6,12,,
reexport-chain,re-export linking,10,3,linked,true,2,0,0,0,0,2,4,,
reexport-chain,re-export linking,10,3,function-summaries-ablated,true,1,0,0,1,0,2,4,,
rejected-namespace,unsupported import shape,6,2,linked,false,0,0,0,0,1,0,0,,namespace import of reactive exports
rejected-namespace,unsupported import shape,6,2,function-summaries-ablated,false,0,0,0,0,1,0,0,,namespace import of reactive exports
shopping-cart,receiver-bounded collection,15,2,linked,true,2,4,0,0,0,4,8,,
shopping-cart,receiver-bounded collection,15,2,function-summaries-ablated,true,1,2,0,3,0,4,8,,
todo-board,application case study,39,5,linked,true,3,5,4,0,0,9,22,,
todo-board,application case study,39,5,function-summaries-ablated,true,2,2,2,6,0,8,18,,
