case,category,scenario,writes,static_selected,oracle_observed,changed,true_positives,false_positives,false_negatives,precision,recall
aliased-import,aliasing,increment through exported mutator,./state.ts#model.count,App/$computed/.%2Fderived.ts#doubled,App/$computed/.%2Fderived.ts#doubled,App/$computed/.%2Fderived.ts#doubled,1,0,0,1.0000,1.0000
aliased-import,aliasing,decrement through the same alias,./state.ts#model.count,App/$computed/.%2Fderived.ts#doubled,App/$computed/.%2Fderived.ts#doubled,App/$computed/.%2Fderived.ts#doubled,1,0,0,1.0000,1.0000
aliased-import,aliasing,exact reset through defining export,./state.ts#model.count,App/$computed/.%2Fderived.ts#doubled,App/$computed/.%2Fderived.ts#doubled,App/$computed/.%2Fderived.ts#doubled,1,0,0,1.0000,1.0000
helper-depth-four,helper depth,four-level parameter-relative chain,./state.ts#model.value,App/$computed/.%2Fderived.ts#display,App/$computed/.%2Fderived.ts#display,App/$computed/.%2Fderived.ts#display,1,0,0,1.0000,1.0000
helper-depth-four,helper depth,repeat four-level chain,./state.ts#model.value,App/$computed/.%2Fderived.ts#display,App/$computed/.%2Fderived.ts#display,App/$computed/.%2Fderived.ts#display,1,0,0,1.0000,1.0000
helper-depth-four,helper depth,second parameter-relative leaf,./state.ts#model.value,App/$computed/.%2Fderived.ts#display,App/$computed/.%2Fderived.ts#display,App/$computed/.%2Fderived.ts#display,1,0,0,1.0000,1.0000
conditional-branch,branching,inactive branch write,./state.ts#secondary,App/$computed/.%2Fderived.ts#selected,,,0,1,0,0.0000,1.0000
conditional-branch,branching,active primary branch write,./state.ts#primary,App/$computed/.%2Fderived.ts#selected,App/$computed/.%2Fderived.ts#selected,App/$computed/.%2Fderived.ts#selected,1,0,0,1.0000,1.0000
conditional-branch,branching,switch active branch,./state.ts#primaryMode,App/$computed/.%2Fderived.ts#selected,App/$computed/.%2Fderived.ts#selected,App/$computed/.%2Fderived.ts#selected,1,0,0,1.0000,1.0000
conditional-branch,branching,now-inactive primary write,./state.ts#primary,App/$computed/.%2Fderived.ts#selected,,,0,1,0,0.0000,1.0000
conditional-branch,branching,new active branch write,./state.ts#secondary,App/$computed/.%2Fderived.ts#selected,App/$computed/.%2Fderived.ts#selected,App/$computed/.%2Fderived.ts#selected,1,0,0,1.0000,1.0000
